ID,Response,RT,Type,characterlist
sub-36,0,4.068787518,affiliation,Newcomb
sub-36,0,3.079887205,affiliation,Peter
sub-36,0,3.996168108,affiliation,Anthony
sub-36,0,6.345155532,affiliation,Anthony
sub-36,0,3.839704069,affiliation,Anthony
sub-36,0,7.638148745,affiliation,Newcomb
sub-37,0,5.113000082,affiliation,Olivia
sub-37,0,9.099387645,affiliation,Olivia
sub-37,0,4.685603624,affiliation,Peter
sub-37,0,5.640720383,affiliation,Olivia
sub-37,0,3.64342672,affiliation,Olivia
sub-37,0,3.924592445,affiliation,Newcomb
sub-37,0,3.846769814,affiliation,Olivia
sub-37,0,5.582386909,affiliation,Peter
sub-37,0,10.59326304,affiliation,Peter
sub-37,0,5.464292918,affiliation,Anthony
sub-37,0,7.742599974,affiliation,Anthony
sub-37,0,2.903195277,affiliation,Hayworth
sub-37,0,4.213443463,affiliation,Peter
sub-37,0,4.320645812,affiliation,Peter
sub-37,0,4.680395467,affiliation,Anthony
sub-38,0,6.179518508,affiliation,Olivia
sub-38,0,6.654472809,affiliation,Olivia
sub-38,0,11.988,affiliation,Peter
sub-38,0,2.251273301,affiliation,Newcomb
sub-38,0,3.68571082,affiliation,Peter
sub-38,0,7.281199928,affiliation,Anthony
sub-38,0,5.687937598,affiliation,Anthony
sub-38,0,3.277773546,affiliation,Anthony
sub-38,0,5.237791685,affiliation,Hayworth
sub-38,0,5.814799417,affiliation,Hayworth
sub-38,0,6.026848984,affiliation,Peter
sub-38,0,5.270827691,affiliation,Newcomb
sub-38,0,7.649955077,affiliation,Newcomb
sub-38,0,5.056980482,affiliation,Anthony
sub-39,0,2.216789448,affiliation,Olivia
sub-39,0,5.915957906,affiliation,Olivia
sub-39,0,2.964283397,affiliation,Olivia
sub-39,0,1.588259749,affiliation,Olivia
sub-39,0,1.404333878,affiliation,Peter
sub-39,0,4.778981966,affiliation,Peter
sub-39,0,2.185808142,affiliation,Anthony
sub-39,0,1.67874275,affiliation,Hayworth
sub-39,0,3.505864025,affiliation,Hayworth
sub-39,0,2.029474572,affiliation,Hayworth
sub-39,0,2.756063959,affiliation,Peter
sub-39,0,2.117654982,affiliation,Peter
sub-39,0,4.653358186,affiliation,Newcomb
sub-39,0,3.044581048,affiliation,Newcomb
sub-39,0,8.18294348,affiliation,Newcomb
sub-39,0,1.921741887,affiliation,Anthony
sub-4,0,4.222596181,affiliation,Olivia
sub-4,0,1.824513788,affiliation,Olivia
sub-4,0,2.38235685,affiliation,Olivia
sub-4,0,1.573034407,affiliation,Peter
sub-4,0,1.586922253,affiliation,Olivia
sub-4,0,1.264864581,affiliation,Newcomb
sub-4,0,1.74139826,affiliation,Peter
sub-4,0,2.857713245,affiliation,Peter
sub-4,0,2.280463909,affiliation,Hayworth
sub-4,0,5.543960549,affiliation,Anthony
sub-4,0,3.504447142,affiliation,Anthony
sub-4,0,3.951215436,affiliation,Hayworth
sub-4,0,4.000999957,affiliation,Hayworth
sub-4,0,4.236594689,affiliation,Anthony
sub-4,0,3.04028093,affiliation,Peter
sub-4,0,3.47083348,affiliation,Newcomb
sub-4,0,2.933669082,affiliation,Anthony
sub-40,0,6.59780792,affiliation,Olivia
sub-40,0,4.845079014,affiliation,Olivia
sub-40,0,2.827019016,affiliation,Olivia
sub-40,0,7.461800266,affiliation,Olivia
sub-40,0,11.988,affiliation,Newcomb
sub-40,0,11.988,affiliation,Newcomb
sub-40,0,3.251812453,affiliation,Peter
sub-40,0,2.883514649,affiliation,Peter
sub-40,0,3.786620714,affiliation,Hayworth
sub-40,0,4.870057364,affiliation,Anthony
sub-40,0,4.026781281,affiliation,Anthony
sub-40,0,3.894580132,affiliation,Anthony
sub-40,0,3.981742183,affiliation,Hayworth
sub-40,0,3.768555778,affiliation,Hayworth
sub-40,0,5.259414176,affiliation,Hayworth
sub-40,0,3.769188726,affiliation,Peter
sub-40,0,5.930642652,affiliation,Newcomb
sub-40,0,9.244771391,affiliation,Newcomb
sub-6,0,3.915127702,affiliation,Olivia
sub-6,0,5.447679661,affiliation,Olivia
sub-6,0,3.275739675,affiliation,Newcomb
sub-6,0,5.22656626,affiliation,Peter
sub-6,0,5.716704109,affiliation,Anthony
sub-6,0,3.809407312,affiliation,Anthony
sub-6,0,6.926528848,affiliation,Hayworth
sub-6,0,4.582427785,affiliation,Peter
sub-6,0,6.114063999,affiliation,Peter
sub-6,0,4.93179059,affiliation,Hayworth
sub-6,0,5.536144062,affiliation,Newcomb
sub-7,0,5.01282889,affiliation,Olivia
sub-7,0,7.936601688,affiliation,Olivia
sub-7,0,5.075014202,affiliation,Peter
sub-7,0,4.212326905,affiliation,Olivia
sub-7,0,3.553973758,affiliation,Newcomb
sub-7,0,2.648594489,affiliation,Peter
sub-7,0,5.92386342,affiliation,Anthony
sub-7,0,5.473936888,affiliation,Anthony
sub-7,0,2.301195405,affiliation,Anthony
sub-7,0,5.513360812,affiliation,Hayworth
sub-7,0,4.704939415,affiliation,Peter
sub-7,0,5.763049892,affiliation,Newcomb
sub-7,0,8.756465134,affiliation,Anthony
sub-8,0,4.11302096,affiliation,Olivia
sub-8,0,6.021491969,affiliation,Olivia
sub-8,0,5.031084193,affiliation,Peter
sub-8,0,5.608371889,affiliation,Olivia
sub-8,0,1.896142835,affiliation,Newcomb
sub-8,0,5.176253543,affiliation,Olivia
sub-8,0,3.813811843,affiliation,Peter
sub-8,0,3.097311547,affiliation,Anthony
sub-8,0,5.76733136,affiliation,Anthony
sub-8,0,5.875879029,affiliation,Anthony
sub-8,0,3.454430502,affiliation,Hayworth
sub-8,0,3.453882183,affiliation,Hayworth
sub-8,0,3.594176611,affiliation,Peter
sub-8,0,2.395747376,affiliation,Newcomb
